,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418
0,insérer,v,bis,entreprises,salariés,employeur,autorisé,attribuer,fois,an,ensemble,salariés,emploie,prime,exceptionnelle,pouvoir,achat,conditions,prévues,ii,conséquence,compléter,article,alinéas,ii,perte,recettes,état,compensée,due,concurrence,création,taxe,additionnelle,droits,mentionnés,articles,code,général,iii,perte,recettes,sécurité,sociale,compensée,due,concurrence,majoration,droits,mentionnés,articles,code,général,impôts,mise,place,accord,intéressement,entreprises,salariés,heurte,obstacles,ordre,technique,vise,conditionner,employeurs,salariés,versement,prime,exceptionnelle,pouvoir,achat,mise,place,accord,salariés,entreprises,employant,salariés,écartés,gouvernement,créer,possibilité,employeur,accorder,prime,exceptionnelle,montant,laissé,appréciation,chef,entreprise,exonérée,limite,euros,bénéficiaire,impôt,revenu,cotisation,contribution,condition,mise,place,accord,intéressement,limitée,entreprises,salariés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,article,code,sécurité,sociale,attribuée,insérés,mots,versée,article,code,sécurité,sociale,dispose,prime,naissance,attribuée,condition,ressources,enfant,naître,enfant,adopté,accueilli,vue,adoption,date,versement,prime,déterminée,gouvernement,monsieur,manuel,valls,décidé,décret,décembre,date,versement,prime,naissance,reportée,dernier,jour,second,mois,civil,naissance,enfant,date,versée,mois,naissance,enfant,choix,ministre,affaires,sociales,santé,majorité,parfaite,contradiction,texte,article,code,sécurité,sociale,auditions,menées,cadre,mission,information,politique,familiale,décidée,commission,affaires,sociales,novembre,permis,mettre,lumière,difficultés,déplacement,date,versement,prime,naissance,engendrait,familles,modestes,ensemble,associations,familiales,tendance,affirmé,unanimement,choix,prime,naissance,naissance,position,largement,confirmée,auditions,menées,préalablement,examen,plfss,ailleurs,bon,sens,consensus,interlocuteurs,politique,raisons,simples,objectif,visé,création,prime,naissance,permettre,familles,ressources,excédaient,seuil,organiser,arrivée,enfant,foyer,naissance,enfant,besoins,parents,importants,auteur,proposition,arrivée,enfant,foyer,constitue,véritable,richesse,véritable,bonheur,humain,condition,sociale,parent,veuille,préparer,mieux,moralement,matériellement,naissance,essence,politique,familiale,politique,redistribution,horizontale,objectif,compenser,partie,charge,pèse,foyer,enfant,foyer,enfant,politique,contexte,global,distingue,politique,sociale,adresse,familles,condition,revenu,protéger,familles,vulnérables,niveau,vie,diminue,entrée,vigueur,décret,décembre,bien,familles,vulnérables,premières,impactées,retrouvent,bien,obligation,endetter,pouvoir,acheter,nécessaire,arrivée,enfant,stade,préciser,report,date,versement,prime,naissance,naissance,enfant,fruit,changement,vision,regard,objectifs,poursuivis,attribution,prime,bien,décision,prise,raisons,trésorerie,autant,vrai,texte,article,code,sécurité,sociale,modifié,continue,affirmer,prime,naissance,attribuée,enfant,naissance,enfant,vise,clarifier,dispositions,article,imposer,versement,fasse,naissance,enfant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,compléter,gouvernement,remet,parlement,échéance,période,expérimentation,évaluation,portant,effets,contemporanéité,crédit,impôt,mentionné,article,sexdecies,code,général,impôts,participation,financière,bénéficiaires,prestations,mentionnées,articles,code,action,sociale,familles,part,coûts,induits,application,article,prestataires,définis,article,code,travail,participant,expérimentation,part,louable,expérimenter,dispositifs,permettant,décalage,moment,dépense,réalisée,aides,perçues,personnes,recourant,services,domicile,vulnérables,nécessaire,mesurer,éventuels,effets,induits,négatifs,mesures,saad,facturent,prix,participation,financière,légale,prévue,apa,pch,convient,mesurer,expérimentation,prix,services,conséquence,ailleurs,expérimentation,prévoit,contemporanéité,apa,pch,organisé,centres,cesu,or,ores,déjà,conseils,départementaux,verser,mécanisme,tiers,payant,prises,charge,saad,limitant,avance,trésorerie,bénéficiaires,convient,vérifier,expérimentation,introduisant,nouvel,acteur,engendre,surcoût,personnes,services,prestataires,complexité,supplémentaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,insérer,alinéas,articles,dudit,code,limitent,possibilités,organiser,délégations,soins,cadre,prise,charge,établissement,santé,établissement,service,social,rédigé,dispositions,code,action,sociale,familles,règles,tarification,organisation,prévues,code,action,sociale,familles,applicables,établissements,services,mentionnés,article,code,b,article,redéfinir,modalités,qualification,actes,aide,actes,soins,prise,charge,établissement,service,social,amplifier,portée,article,question,clé,rigidités,financières,article,ouvre,possibilité,expérimenter,dérogations,règles,tarification,établissements,services,sociaux,formes,cloisonnement,mettent,cause,pertinence,accompagnements,génèrent,ruptures,parcours,personnes,prévoit,étendre,dérogations,points,règles,organisation,établissements,services,sociaux,favoriser,innovations,organisationnelles,permettre,expérimenter,nouvelles,formes,coopération,acteurs,sociaux,sanitaires,service,parcours,santé,vie,personnes,modalités,qualification,actes,aide,actes,soins,cadre,accompagnement,établissement,service,social,plfss,similaire,déposé,rejeté,gouvernement,motif,sujet,devait,traité,concertation,grand,âge,autonomie,pilotée,dominique,libault,or,mars,aborde,expressément,sujet,justifie,déposer,nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,article,code,sécurité,sociale,complété,rédigée,universelles,politique,familiale,reposé,principe,universalité,signifie,adressait,français,distinction,sociale,reposait,idée,enfant,naître,chance,richesse,france,avenir,ressources,disposent,mettre,place,principe,universalité,politique,familiale,appelle,outils,redistribution,horizontale,mécanismes,solidarité,familles,enfant,familles,enfants,revenus,parents,naissance,enfant,porter,atteinte,niveau,principe,universalité,mis,mal,précédent,quinquennat,travers,modulation,allocations,familiales,baisses,successives,quotient,familial,politique,familiale,politique,sociale,financement,sécurité,sociale,choisi,revenir,modulation,allocations,familiales,conséquence,principale,baisse,natalité,vise,réintroduire,principe,universalité,base,politique,familiale,française,enviée,voisins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,mois,compter,promulgation,présente,gouvernement,remet,parlement,évaluant,conséquence,intégration,allocations,familiales,revenu,fiscal,condition,universalité,totale,suppression,modulation,prévue,décembre,financement,sécurité,sociale,principe,politique,familiale,reposait,universalité,savoir,famille,conditions,ressources,bénéficiaient,prestations,enfants,charges,financement,sécurité,sociale,mis,place,système,modulation,allocations,modulation,échelonner,montant,allocations,familiales,fonction,revenus,fiscaux,foyer,transformer,politique,familiale,basée,redistribution,horizontale,partage,familles,enfants,familles,enfants,politique,sociale,système,redistribution,verticale,partage,foyers,revenus,élevés,revenus,faibles,pouvoir,prononcer,connaissance,cause,parlementaires,groupe,républicains,sollicitent,gouvernement,intégration,allocations,familiales,revenu,fiscal,condition,universalité,total,suppression,modulation,prévue,financement,sécurité,sociale,option,génèrerait,surplus,impôt,revenu,millions,euros,an,cour,comptes,très,coûteuse,finances,publiques,suppression,modulation,coûterait,millions,euros,an,conséquence,faire,entrer,nouveaux,contribuables,impôt,permettrait,rétablir,véritable,universalité,allocations,familiales,option,fiscalisation,limiterait,reconstitution,courbe,u,puisqu,partie,montant,allocations,familiales,redonné,hauts,déciles,revenus,sorte,rattrapée,impôt,autant,niveau,revenu,élevé,tenu,progressivité,impôt,précisons,demandé,gouvernement,objectif,permettre,parlementaires,prononcer,connaissance,cause,cas,valeur,décision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,mois,promulgation,gouvernement,remet,parlement,évalue,conséquences,mesures,adoptées,politique,porte,quotient,familial,allocations,familiales,parental,prime,naissance,allocation,base,prestation,accueil,jeune,enfant,modes,grand,nombre,mesures,adoptées,détriment,familles,baisse,répétée,quotient,modulation,allocations,parental,partagé,limitant,durée,maximale,parent,lieu,naissance,versée,naissance,tenues,termes,modes,conditions,drastiques,baisse,montants,allocation,base,paje,complément,modes,garde,or,force,constater,nombre,naissances,france,métropolitaine,baissé,statistiques,insee,parues,août,enfants,nés,cours,dernières,années,dispositions,adoptées,évaluées,mesurer,portée,politique,familiale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,mois,promulgation,gouvernement,remet,parlement,évalue,conséquences,mesures,adoptées,politique,porte,quotient,familial,allocations,familiales,parental,prime,naissance,allocation,base,prestation,accueil,jeune,enfant,modes,grand,nombre,mesures,adoptées,détriment,familles,baisse,répétée,quotient,modulation,allocations,parental,partagé,limitant,durée,maximale,parent,lieu,naissance,versée,naissance,tenues,termes,modes,conditions,drastiques,baisse,montants,allocation,base,paje,complément,modes,garde,or,force,constater,nombre,naissances,france,métropolitaine,baissé,statistiques,insee,parues,août,enfants,nés,cours,dernières,années,dispositions,adoptées,évaluées,mesurer,portée,politique,familiale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,améliorer,prise,charge,pied,diabétique,patients,atteints,diabète,prise,charge,assurance,maladie,obligatoire,prestations,mentionnées,articles,donne,lieu,dérogation,articles,rémunération,cahier,charges,indiquant,conditions,éligibilité,établissements,équipes,déterminé,régime,général,personnes,atteintes,diabète,subissent,année,amputation,membre,inférieur,savoir,orteil,pied,jambe,cuisse,personnes,hospitalisées,plaie,pied,qualité,vie,patient,diabétique,largement,détériorée,pratique,activité,physique,partie,intégrante,traitement,diabète,titre,alimentation,traitements,médicamenteux,devient,difficile,cercle,vicieux,pratique,régulière,diabète,stable,complications,développent,détériorant,qualité,vie,déjà,dégradée,coûts,supplémentaires,évitables,viennent,alourdir,dépenses,assurance,maladie,complications,représentent,véritable,coût,assurance,maladie,dépenses,moyennes,patient,diabétique,élèvent,euros,patient,pris,charge,amputation,élèvent,euros,patients,diabétiques,représentent,dépenses,totales,trouver,prise,charge,adaptée,nécessité,patient,qualité,vie,efficience,système,soins,pied,diabétique,amputation,hospitalisation,plaie,estimé,millions,euros,millions,attribuables,patients,amputés,liés,patients,hospitalisés,soins,aigus,plaie,pied,établissements,déjà,spécialisés,prise,charge,pied,diabétique,existe,cahier,charges,permette,labéliser,certifier,établissements,équipes,vise,créer,mode,financement,dédié,forfait,prise,charge,complications,équipes,éligibles,déterminées,cahier,charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,supprimer,financement,sécurité,sociale,prévoit,substitution,pharmacien,article,code,santé,publique,indique,dérogation,article,pharmacien,délivrer,substitution,médicament,biologique,prescrit,médicament,biologique,similaire,conditions,remplies,modalités,application,article,conditions,substitution,médicament,biologique,information,prescripteur,occasion,substitution,nature,assurer,continuité,traitement,médicament,précisées,décret,conseil,état,absence,cadre,réglementaire,claire,préjudiciable,monde,nécessaire,cadre,réglementaire,clarifié,substitution,fasse,cadre,décision,médicale,partagée,patients,pharmaciens,prescripteurs,ailleurs,prescription,dénomination,commune,internationale,dci,devenue,obligatoire,ville,hôpital,pharmacien,responsabilité,choix,molécule,fonction,patient,pathologie,malgré,obligation,prescripteurs,pharmaciens,radicalement,transformé,pratiques,nécessaire,contrôle,strict,réglementation,donner,pharmacien,responsabilité,pleine,entière,choix,molécule,vise,prévoir,rédaction,décret,décembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
