"('Mot Fréquent1',)","('Mot Fréquent2',)","('Mot Fréquent3',)","('Mot Important1',)","('Mot Important2',)","('Mot Important3',)",0
professionnel,santé,sécurité,devoir,vise,financement,27
médicament,pourcent,taux,santé,devoir,permettre,25
projet,aide,investissement,pouvoir,permettre,public,18
convention,actuel,demander,permettre,supprimer,an,15
répartition,médicament,million,droit,maladie,général,14
degré,charge,urgence,pouvoir,santé,vise,14
offre,spécialité,soin,pouvoir,insérer,mettre,13
santé,établissement,financement,pouvoir,vise,faire,12
travail,employeur,entreprise,sécurité,vise,insérer,11
dépense,soin,ville,pouvoir,permettre,supprimer,11
employeur,degré,tâche,sécurité,vise,supprimer,11
familial,allocation,naissance,devoir,année,conséquence,10
date,degré,décembre,vise,permettre,financement,10
famille,familial,prestation,devoir,insérer,prévoir,10
supprimer,rédaction,assemblée,supprimer,national,rédaction,10
bénéficiaire,droit,couvertur,sécurité,rédiger,prévoir,9
mise,réserve,santé,devoir,faire,rédiger,9
médicament,santé,mois,social,vise,permettre,9
établissement,investissement,santé,social,sécurité,devoir,9
taux,cotisation,exonération,droit,général,année,9
expérimentation,service,contemporanéité,social,pouvoir,permettre,8
territoire,devoir,financement,sécurité,pouvoir,faire,8
financement,million,sécurité,santé,devoir,vise,8
famille,parent,entreprise,devoir,supprimer,prévoir,8
santé,versement,conseil,permettre,insérer,prévoir,8
choix,dispositif,médical,faire,insérer,degré,8
santé,objectif,représentant,social,sécurité,pouvoir,8
pharmacien,substitution,médicament,social,sécurité,pouvoir,8
ressource,santé,consultation,insérer,rédiger,prévoir,8
prise,charge,dispositif,faire,supprimer,état,8
terme,substituer,pouvoir,pouvoir,supprimer,dispositif,8
choix,libre,rédiger,faire,rédiger,dispositif,7
suivi,représentant,acteur,santé,vise,insérer,7
an,date,décembre,permettre,compléter,national,7
crédit,aide,devoir,social,sécurité,insérer,7
social,soin,établissement,devoir,insérer,rédiger,7
prix,médicament,degré,pouvoir,devoir,vise,7
médical,dispositif,mécanisme,devoir,permettre,faire,7
coordination,besoin,territoire,pouvoir,santé,vise,7
médicament,plasma,dériver,devoir,faire,insérer,7
social,sécurité,cotisation,permettre,insérer,rédiger,6
santé,prévention,sportif,social,charge,maladie,6
téléconsultation,parcours,soin,social,sécurité,vise,6
qualité,vie,travail,social,sécurité,pouvoir,6
bilan,activité,physique,vise,public,charge,6
entreprise,salarié,employeur,social,sécurité,vise,6
revalorisation,aah,prévoir,sécurité,permettre,supprimer,6
attribution,saad,enveloppe,vise,faire,prévoir,6
sécurité,social,lier,devoir,public,rédiger,6
familial,politique,social,vise,faire,rédiger,6
droit,complémentaire,bénéficiaire,social,sécurité,permettre,6
année,activité,cotisation,sécurité,permettre,prévoir,6
terme,obligation,substituer,pouvoir,devoir,supprimer,6
médicament,plasma,dériver,insérer,maladie,année,6
médicament,taux,croissance,social,sécurité,santé,6
établissement,santé,public,social,sécurité,pouvoir,6
enfant,allocation,aeeh,devoir,permettre,charge,6
urgence,téléconsultation,prise,permettre,rédiger,financement,6
médicament,plasma,entreprise,sécurité,pouvoir,devoir,6
financement,santé,psychiatrie,permettre,supprimer,compléter,6
certification,prestation,délai,santé,devoir,public,5
cancer,patient,traitement,devoir,permettre,faire,5
ressource,santé,consultation,social,sécurité,insérer,5
ressource,santé,objectif,insérer,rédiger,maladie,5
entreprise,salarié,prime,social,sécurité,vise,5
intervention,mode,prestataire,vise,public,degré,5
activité,pouvoir,apprécier,social,permettre,insérer,5
social,salaire,montant,pouvoir,vise,insérer,5
santé,sécurité,social,insérer,rédiger,prévoir,5
médicament,pourcent,sécurité,devoir,permettre,public,5
social,cotisation,exonération,sécurité,pouvoir,permettre,5
degré,bière,pourcent,vise,rédiger,droit,5
dette,vi,plan,sécurité,devoir,faire,5
revalorisation,métier,social,faire,public,charge,5
social,établissement,service,devoir,insérer,rédiger,5
social,sécurité,cotisation,pouvoir,vise,supprimer,5
besoin,handicap,financement,social,sécurité,pouvoir,5
prix,révision,médicament,devoir,vise,permettre,5
charge,patient,pied,vise,permettre,faire,5
public,établissement,santé,social,sécurité,pouvoir,5
substituer,pouvoir,devoir,pouvoir,devoir,vise,5
famille,parent,entreprise,devoir,vise,supprimer,5
hôpital,proximité,activité,supprimer,proposer,conséquence,5
social,général,impôt,sécurité,devoir,faire,5
médicament,innovant,nouveau,pouvoir,santé,supprimer,5
sécurité,social,action,devoir,vise,faire,5
social,dispositif,cotisation,devoir,permettre,prévoir,5
public,recherche,prix,pouvoir,vise,insérer,5
droit,allocation,invalidité,vise,rédiger,dispositif,5
vaccin,production,fabrication,pouvoir,devoir,vise,5
actionnaire,bien,sanofi,faire,supprimer,public,5
social,année,sécurité,pouvoir,devoir,vise,5
vie,évaluation,donnée,social,sécurité,vise,5
social,sécurité,compensation,permettre,supprimer,public,5
année,famille,faire,social,pouvoir,devoir,4
durée,social,droit,sécurité,maladie,assurance,4
exonération,social,évaluation,sécurité,supprimer,public,4
pourcent,taux,fin,social,pouvoir,prévoir,4
social,sécurité,public,faire,dispositif,degré,4
santé,supprimer,sportif,social,permettre,état,4
mois,an,évaluation,pouvoir,vise,prévoir,4
réforme,supprimer,vise,social,sécurité,pouvoir,4
santé,tiers,payer,social,sécurité,pouvoir,4
téléconsultation,cadre,santé,social,sécurité,vise,4
biologie,condition,médical,permettre,prévoir,degré,4
santé,tiers,payer,sécurité,pouvoir,permettre,4
régime,retraite,spécial,vise,permettre,supprimer,4
social,sécurité,production,pouvoir,devoir,supprimer,4
assurance,pourcent,organisme,santé,prévoir,soin,4
origin,pièce,détachée,pouvoir,faire,dispositif,4
médical,sportif,problème,pouvoir,devoir,supprimer,4
devoir,conseil,supprimer,social,sécurité,supprimer,4
urgence,patient,passage,santé,vise,faire,4
expérimentation,service,saad,social,permettre,prévoir,4
médical,certificat,santé,supprimer,état,an,4
unification,supprimer,urssaf,supprimer,état,objectif,4
chiffre,affaire,entreprise,devoir,vise,maladie,4
aérien,social,exonération,sécurité,pouvoir,faire,4
régional,santé,schéma,vise,faire,prévoir,4
atu,montant,charge,santé,supprimer,public,4
expérimentation,santé,tiers,social,sécurité,maladie,4
médecin,libéral,zone,social,sécurité,vise,4
familial,revenu,allocation,pouvoir,public,charge,4
médecin,degré,zone,faire,insérer,rédiger,4
familial,handicap,prestation,pouvoir,devoir,vise,4
médecin,conventionnement,libéral,pouvoir,permettre,faire,4
expérimentation,saad,engagement,supprimer,financement,national,4
droit,allocation,invalidité,vise,insérer,rédiger,4
santé,tiers,payer,vise,permettre,public,4
assistant,maternel,supprimer,supprimer,nouveau,cas,4
social,sécurité,perte,pouvoir,santé,vise,4
plan,cotisant,dette,devoir,rédiger,prévoir,4
social,sécurité,perte,santé,devoir,vise,4
social,pourcent,prestation,prévoir,état,année,4
référence,substituer,correction,substituer,matériel,erreur,4
zone,géographique,modifier,social,vise,permettre,4
supprimer,suppression,modulation,supprimer,cadre,travail,4
charge,patient,prestation,sécurité,pouvoir,santé,4
secret,industriel,donnée,public,insérer,dispositif,4
recherche,public,médicament,social,sécurité,pouvoir,4
degré,isolement,contention,santé,faire,public,4
sécurité,social,agence,devoir,supprimer,financement,4
zone,médecin,santé,vise,faire,insérer,4
produit,contribution,charcuterie,vise,faire,rédiger,4
établissement,migac,meilleur,social,sécurité,pouvoir,4
dispositif,supprimer,médical,devoir,vise,permettre,4
établissement,relever,forfait,pouvoir,devoir,financement,4
entreprise,eti,taille,devoir,faire,rédiger,4
médicament,patient,critère,vise,insérer,rédiger,4
dispositif,social,cotisation,devoir,permettre,public,4
juge,rédiger,liberté,pouvoir,devoir,vise,4
activité,hôpital,année,pouvoir,santé,supprimer,4
juge,liberté,détention,rédiger,disposition,dernier,4
public,établissement,général,social,sécurité,permettre,4
ssiad,indu,acte,insérer,rédiger,dispositif,4
social,sécurité,compensation,faire,supprimer,prévoir,4
dépense,soin,ville,pouvoir,vise,permettre,4
entreprise,aide,bénéficier,social,devoir,faire,4
public,médicament,prix,social,sécurité,vise,4
femme,médicaliser,complètement,santé,supprimer,dispositif,4
proposition,caisse,social,sécurité,devoir,faire,4
enfant,protection,santé,devoir,vise,insérer,4
enfant,place,jeune,devoir,permettre,financement,4
social,compensation,sécurité,faire,supprimer,prévoir,4
indemnité,parent,famille,supprimer,national,assurance,4
ssiad,infirmier,indu,pouvoir,devoir,insérer,4
social,cotisation,protection,pouvoir,permettre,supprimer,4
santé,hôpital,ondam,sécurité,pouvoir,devoir,4
registre,compléter,degré,santé,permettre,public,4
certificat,médical,santé,social,sécurité,vise,4
sécurité,social,cotisation,permettre,financement,compléter,4
sanction,travail,dissimulé,sécurité,pouvoir,permettre,4
social,établissement,soin,santé,permettre,insérer,4
âge,bénéficiaire,santé,social,devoir,vise,4
ondam,hospitalier,santé,supprimer,public,pourcent,4
ondam,aller,pourcent,santé,supprimer,public,4
garantie,santé,contrat,social,sécurité,faire,4
prestation,familial,famille,devoir,insérer,degré,4
travailleur,indépendant,cotisation,social,supprimer,france,4
sécurité,social,trajectoire,faire,supprimer,public,4
distribuer,bénéfice,entreprise,social,sécurité,rédiger,4
contribution,cotisation,année,santé,organisme,proposer,4
tiers,payer,assurance,sécurité,droit,pourcent,4
nombre,social,entreprise,sécurité,devoir,état,4
revalorisation,social,pourcent,sécurité,pouvoir,permettre,4
contribution,santé,professionnel,social,sécurité,supprimer,4
prime,naissance,mois,devoir,faire,prévoir,4
prime,social,cotisation,pouvoir,devoir,vise,4
établissement,acte,sanction,pouvoir,santé,supprimer,4
numéro,identification,pièce,permettre,insérer,rédiger,4
social,service,établissement,devoir,vise,permettre,4
entreprise,salarié,rémunération,sécurité,pouvoir,vise,4
soin,établissement,degré,permettre,rédiger,prévoir,4
entreprise,travail,dissimulé,sécurité,pouvoir,permettre,4
entreprise,supprimer,proposer,social,santé,état,4
convention,actuel,médical,permettre,supprimer,an,4
charge,patient,pied,social,sécurité,vise,3
médicament,prévoit,taux,sécurité,pouvoir,devoir,3
supprimer,condition,examen,sécurité,vise,sanitaire,3
traitement,complémentaire,médecine,sécurité,devoir,permettre,3
médicament,mois,santé,social,vise,permettre,3
médicament,biologique,similaire,pouvoir,supprimer,rédiger,3
tiers,payer,santé,social,sécurité,vise,3
médicament,information,santé,social,sécurité,devoir,3
social,relatif,degré,prévoir,dispositif,compléter,3
financement,psychiatrie,modèle,social,sécurité,devoir,3
social,régime,exonération,pouvoir,devoir,supprimer,3
médicament,nouveau,déjà,social,sécurité,devoir,3
supprimer,conséquence,charge,social,sécurité,santé,3
santé,indice,territoire,social,permettre,public,3
santé,infirmier,public,sécurité,faire,financement,3
médicament,critère,intérêt,vise,insérer,rédiger,3
france,pourcent,dernier,supprimer,maladie,an,3
médical,supprimer,visite,social,conseil,suppression,3
classe,rupture,thérapeutique,sécurité,pouvoir,permettre,3
cotisation,social,supprimer,sécurité,devoir,vise,3
licence,office,cas,social,sécurité,public,3
cotisation,revenu,capital,pouvoir,devoir,faire,3
licence,office,transparence,santé,faire,rédiger,3
seuil,salarié,entreprise,social,sécurité,devoir,3
sécurité,santé,agence,social,pouvoir,devoir,3
sécurité,santé,public,devoir,vise,supprimer,3
seuil,entreprise,nombre,sécurité,devoir,dispositif,3
