"('Mot Fréquent1',)","('Mot Fréquent2',)","('Mot Fréquent3',)","('Mot Fréquent4',)","('Mot Important1',)","('Mot Important2',)","('Mot Important3',)","('Mot Important4',)",0
médicament,pourcent,taux,million,santé,devoir,permettre,public,25
professionnel,santé,sécurité,libéral,devoir,vise,financement,droit,21
projet,aide,investissement,régional,pouvoir,permettre,public,rédiger,17
convention,actuel,demander,suppression,permettre,supprimer,an,cadre,15
répartition,médicament,million,taux,droit,maladie,général,soin,14
degré,charge,urgence,forfait,pouvoir,santé,vise,supprimer,13
offre,spécialité,soin,libéral,pouvoir,insérer,mettre,place,13
santé,établissement,financement,janvier,pouvoir,vise,faire,public,12
employeur,degré,tâche,réaliser,sécurité,vise,supprimer,charge,11
dépense,soin,ville,objectif,pouvoir,permettre,supprimer,financement,11
travail,employeur,entreprise,exonération,sécurité,vise,insérer,charge,11
famille,familial,prestation,million,devoir,insérer,prévoir,charge,10
familial,allocation,naissance,adopter,devoir,année,conséquence,condition,10
supprimer,rédaction,assemblée,national,supprimer,national,rédaction,assemblée,10
date,degré,décembre,établissement,vise,permettre,financement,année,10
bénéficiaire,droit,couvertur,social,sécurité,rédiger,prévoir,dispositif,9
médicament,santé,mois,pénurie,social,vise,permettre,insérer,9
mise,réserve,santé,soin,devoir,faire,rédiger,financement,9
taux,cotisation,exonération,partiel,droit,général,année,organisme,9
établissement,investissement,santé,aide,social,sécurité,devoir,vise,9
financement,million,sécurité,social,santé,devoir,vise,supprimer,8
terme,substituer,pouvoir,proposer,pouvoir,supprimer,dispositif,maladie,8
choix,dispositif,médical,assurer,faire,insérer,degré,droit,8
expérimentation,service,contemporanéité,impôt,social,pouvoir,permettre,prévoir,8
prise,charge,dispositif,médical,faire,supprimer,état,cas,8
pharmacien,substitution,médicament,biologique,social,sécurité,pouvoir,santé,8
territoire,devoir,financement,indicateur,sécurité,pouvoir,faire,dispositif,8
famille,parent,entreprise,ij,devoir,supprimer,prévoir,charge,8
