,Mot Nº1,Mot Nº2,Mot Nº3,Mot Nº4,Mot Nº5,Mot Nº6,Mot Nº7,Mot Nº8,Mot Nº9,Mot Nº10
AMANR5L15PO420120B2296P0D1N000001,"('salarié', 6)","('entreprise', 5)","('employeur', 3)","('prime', 3)","('exceptionnel', 3)","('article', 3)","('devoir', 3)","('impôt', 3)","('place', 3)","('accord', 3)"
AMANR5L15PO420120B2296P0D1N000002,"('naissance', 15)","('enfant', 15)","('prime', 9)","('social', 6)","('politique', 6)","('article', 5)","('date', 5)","('versement', 5)","('famille', 5)","('foyer', 5)"
AMANR5L15PO420120B2296P0D1N000005,"('expérimentation', 5)","('article', 4)","('code', 3)","('service', 3)","('contemporanéité', 2)","('impôt', 2)","('mentionner', 2)","('participation', 2)","('financier', 2)","('bénéficiaire', 2)"
AMANR5L15PO420120B2296P0D1N000008,"('social', 10)","('établissement', 7)","('service', 7)","('article', 5)","('code', 4)","('acte', 4)","('soin', 3)","('règle', 3)","('possibilité', 2)","('cadre', 2)"
AMANR5L15PO420120B2296P0D1N000010,"('familial', 7)","('politique', 5)","('social', 4)","('principe', 4)","('universalité', 4)","('enfant', 4)","('sécurité', 2)","('reposer', 2)","('français', 2)","('parent', 2)"
AMANR5L15PO420120B2296P0D1N000011,"('familial', 8)","('revenu', 8)","('allocation', 6)","('modulation', 5)","('universalité', 4)","('social', 4)","('impôt', 4)","('fiscal', 3)","('condition', 3)","('suppression', 3)"
AMANR5L15PO420120B2296P0D1N000012,"('familial', 4)","('allocation', 4)","('naissance', 4)","('adopter', 3)","('mode', 3)","('politique', 2)","('quotient', 2)","('parental', 2)","('base', 2)","('enfant', 2)"
AMANR5L15PO420120B2296P0D1N000015,"('familial', 4)","('allocation', 4)","('naissance', 4)","('adopter', 3)","('mode', 3)","('politique', 2)","('quotient', 2)","('parental', 2)","('base', 2)","('enfant', 2)"
AMANR5L15PO420120B2296P0D1N000018,"('charge', 9)","('patient', 8)","('pied', 6)","('diabétique', 6)","('prise', 5)","('diabète', 4)","('assurance', 3)","('maladie', 3)","('cahier', 3)","('établissement', 3)"
AMANR5L15PO420120B2296P0D1N000019,"('pharmacien', 6)","('substitution', 5)","('médicament', 4)","('article', 3)","('biologique', 3)","('prescripteur', 3)","('cadre', 3)","('prévoir', 2)","('condition', 2)","('décret', 2)"
AMANR5L15PO420120B2296P0D1N000022,"('saad', 5)","('attribution', 4)","('enveloppe', 3)","('million', 3)","('décret', 3)","('financement', 3)","('modalité', 2)","('préciser', 2)","('tarification', 2)","('domicile', 2)"
AMANR5L15PO420120B2296P0D1N000023,"('intervention', 3)","('mode', 3)","('prestataire', 2)","('définir', 2)","('mandatair', 2)","('substituer', 1)","('degré', 1)","('public', 1)","('fragile', 1)","('viser', 1)"
AMANR5L15PO420120B2296P0D1N000027,"('date', 3)","('janvier', 2)","('septembre', 2)","('nouveau', 2)","('projet', 2)","('substituer', 1)","('aidant', 1)","('devoir', 1)","('faire', 1)","('analyse', 1)"
AMANR5L15PO420120B2296P0D1N000032,"('permettre', 5)","('médicaliser', 4)","('produit', 4)","('article', 3)","('maîtris', 3)","('objectif', 3)","('santé', 3)","('cep', 3)","('cadre', 3)","('degré', 2)"
AMANR5L15PO420120B2296P0D1N000033,"('hôpital', 3)","('supprimer', 2)","('suppression', 2)","('gestion', 2)","('financement', 2)","('hospitalier', 2)","('réforme', 2)","('substituer', 1)","('degré', 1)","('article', 1)"
AMANR5L15PO420120B2296P0D1N000034,"('degré', 3)","('sécurité', 3)","('social', 3)","('qualité', 3)","('code', 2)","('supprimer', 2)","('entreprendre', 2)","('soin', 2)","('tarification', 2)","('activité', 2)"
AMANR5L15PO420120B2296P0D1N000037,"('professionnel', 6)","('santé', 5)","('libéral', 4)","('affilié', 4)","('régime', 4)","('taxe', 4)","('sécurité', 3)","('social', 3)","('taux', 3)","('cotisation', 3)"
AMANR5L15PO420120B2296P0D1N000043,"('choix', 5)","('dispositif', 3)","('médical', 3)","('assurer', 2)","('libre', 2)","('remise', 2)","('état', 2)","('imposer', 2)","('substituer', 1)","('degré', 1)"
AMANR5L15PO420120B2296P0D1N000044,"('pouvoir', 2)","('obligation', 2)","('substituer', 1)","('remplacer', 1)","('terme', 1)","('permettre', 1)","('renforcer', 1)","('garantie', 1)","('remise', 1)","('bon', 1)"
AMANR5L15PO420120B2296P0D1N000045,"('devoir', 3)","('origin', 2)","('pièce', 2)","('réparation', 2)","('garantie', 2)","('sécurité', 2)","('vigilance', 2)","('substituer', 1)","('pouvoir', 1)","('conséquence', 1)"
AMANR5L15PO420120B2296P0D1N000048,"('activité', 4)","('établissement', 4)","('taux', 4)","('occupation', 4)","('pouvoir', 3)","('apprécier', 3)","('famille', 2)","('degré', 2)","('article', 2)","('cas', 2)"
AMANR5L15PO420120B2296P0D1N000055,"('référencement', 6)","('produit', 5)","('conséquence', 3)","('rédiger', 3)","('dispositif', 3)","('médical', 3)","('risque', 3)","('raison', 3)","('supprimer', 2)","('article', 2)"
AMANR5L15PO420120B2296P0D1N000056,"('aah', 5)","('allocation', 3)","('disposition', 2)","('droit', 2)","('retraite', 2)","('caisse', 2)","('supprimer', 1)","('régime', 1)","('substitution', 1)","('initier', 1)"
AMANR5L15PO420120B2296P0D1N000057,"('système', 4)","('mode', 3)","('financement', 3)","('établissement', 3)","('envisager', 3)","('parlement', 2)","('état', 2)","('tarification', 2)","('activité', 2)","('hospitalier', 2)"
AMANR5L15PO420120B2296P0D1N000058,"('expérimentation', 5)","('article', 4)","('code', 3)","('service', 3)","('contemporanéité', 2)","('impôt', 2)","('mentionner', 2)","('participation', 2)","('financier', 2)","('bénéficiaire', 2)"
AMANR5L15PO420120B2296P0D1N000059,"('médical', 6)","('dispositif', 5)","('mécanisme', 5)","('clause', 4)","('sauvegarde', 4)","('sus', 4)","('soin', 4)","('dépense', 4)","('entreprise', 4)","('place', 3)"
AMANR5L15PO420120B2296P0D1N000060,"('disposition', 6)","('pouvoir', 6)","('dispositif', 5)","('charge', 5)","('consigne', 5)","('chapitre', 4)","('produit', 4)","('patient', 3)","('supprimer', 2)","('mise', 2)"
