,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"('salariés', 7)","('entreprises', 4)","('moins', 4)","('prime', 3)","('exceptionnelle', 3)","('article', 3)","('mise', 3)","('place', 3)","('accord', 3)","('employeur', 2)","('pouvoir', 2)","('achat', 2)","('condition', 2)","('ii', 2)","('perte', 2)","('recettes', 2)","('compensée', 2)","('due', 2)","('concurrence', 2)","('droits', 2)","('mentionnés', 2)","('a', 2)","('code', 2)","('général', 2)","('intéressement', 2)","('i', 1)","('après', 1)","('insérer', 1)","('suivant', 1)","('v', 1)"
1,"('naissance', 15)","('enfant', 14)","('prime', 9)","('sociale', 6)","('politique', 6)","('article', 5)","('date', 5)","('versement', 5)","('avant', 5)","('familles', 5)","('plus', 5)","('code', 4)","('sécurité', 4)","('cette', 4)","('foyer', 4)","('premier', 3)","('attribuée', 3)","('condition', 3)","('chaque', 3)","('a', 3)","('arrivée', 3)","('bien', 3)","('après', 2)","('versée', 2)","('ressources', 2)","('doit', 2)","('décret', 2)","('décembre', 2)","('mois', 2)","('choix', 2)"
2,"('expérimentation', 5)","('article', 4)","('code', 3)","('service', 3)","('cette', 2)","('notamment', 2)","('effets', 2)","('contemporanéité', 2)","('participation', 2)","('financière', 2)","('bénéficiaires', 2)","('part', 2)","('induits', 2)","('prestataires', 2)","('plus', 2)","('entre', 2)","('où', 2)","('personnes', 2)","('mesurer', 2)","('effet', 2)","('saad', 2)","('prix', 2)","('apa', 2)","('pch', 2)","('convient', 2)","('ni', 2)","('compléter', 1)","('suivante', 1)","('gouvernement', 1)","('remet', 1)"
3,"('service', 7)","('article', 5)","('code', 4)","('établissement', 4)","('actes', 4)","('soins', 3)","('social', 3)","('règles', 3)","('établissements', 3)","('entre', 3)","('sociaux', 3)","('cadre', 2)","('prise', 2)","('charge', 2)","('santé', 2)","('action', 2)","('sociale', 2)","('familles', 2)","('tarification', 2)","('organisation', 2)","('modalités', 2)","('qualification', 2)","('aide', 2)","('lors', 2)","('expérimenter', 2)","('dérogations', 2)","('formes', 2)","('parcours', 2)","('personnes', 2)","('sujet', 2)"
4,"('politique', 5)","('sociale', 4)","('familiale', 4)","('a', 4)","('principe', 4)","('universalité', 4)","('enfant', 3)","('sécurité', 2)","('sans', 2)","('quel', 2)","('familles', 2)","('modulation', 2)","('allocation', 2)","('familiales', 2)","('premier', 1)","('article', 1)","('code', 1)","('complété', 1)","('rédigée', 1)","('elles', 1)","('universelles', 1)","('pendant', 1)","('plus', 1)","('cinquante', 1)","('reposé', 1)","('cela', 1)","('signifie', 1)","('adressait', 1)","('tous', 1)","('français', 1)"
5,"('allocation', 6)","('familiales', 5)","('modulation', 5)","('revenu', 4)","('universalité', 4)","('sociale', 4)","('a', 4)","('revenus', 4)","('plus', 4)","('impôt', 4)","('gouvernement', 3)","('condition', 3)","('suppression', 3)","('financement', 3)","('sécurité', 3)","('politique', 3)","('enfants', 3)","('conséquence', 2)","('intégration', 2)","('fiscal', 2)","('sou', 2)","('retour', 2)","('prévue', 2)","('familiale', 2)","('système', 2)","('effet', 2)","('montant', 2)","('foyer', 2)","('redistribution', 2)","('partage', 2)"
6,"('allocation', 4)","('adoptées', 3)","('naissance', 3)","('mode', 3)","('mesures', 2)","('politique', 2)","('quotient', 2)","('parental', 2)","('base', 2)","('nombre', 2)","('baisse', 2)","('six', 1)","('mois', 1)","('suivant', 1)","('promulgation', 1)","('gouvernement', 1)","('remet', 1)","('parlement', 1)","('évalue', 1)","('conséquences', 1)","('entre', 1)","('porte', 1)","('notamment', 1)","('familial', 1)","('familiales', 1)","('prime', 1)","('prestation', 1)","('accueil', 1)","('jeune', 1)","('enfant', 1)"
7,"('allocation', 4)","('adoptées', 3)","('naissance', 3)","('mode', 3)","('mesures', 2)","('politique', 2)","('quotient', 2)","('parental', 2)","('base', 2)","('nombre', 2)","('baisse', 2)","('six', 1)","('mois', 1)","('suivant', 1)","('promulgation', 1)","('gouvernement', 1)","('remet', 1)","('parlement', 1)","('évalue', 1)","('conséquences', 1)","('entre', 1)","('porte', 1)","('notamment', 1)","('familial', 1)","('familiales', 1)","('prime', 1)","('prestation', 1)","('accueil', 1)","('jeune', 1)","('enfant', 1)"
8,"('charge', 9)","('patient', 8)","('pied', 6)","('prise', 5)","('diabétique', 5)","('diabète', 4)","('assurance', 3)","('maladie', 3)","('cahier', 3)","('établissements', 3)","('équipes', 3)","('amputation', 3)","('plaie', 3)","('qualité', 3)","('vie', 3)","('complication', 3)","('dépenses', 3)","('euro', 3)","('article', 2)","('personnes', 2)","('alors', 2)","('pratique', 2)","('plus', 2)","('déjà', 2)","('représentent', 2)","('élèvent', 2)","('donc', 2)","('soins', 2)","('million', 2)","('améliorer', 1)"
9,"('substitution', 5)","('pharmacien', 4)","('médicament', 4)","('cette', 4)","('article', 3)","('biologique', 3)","('cadre', 3)","('condition', 2)","('décret', 2)","('réglementaire', 2)","('nécessaire', 2)","('patient', 2)","('pharmaciens', 2)","('prescripteurs', 2)","('responsabilité', 2)","('choix', 2)","('molécule', 2)","('supprimer', 1)","('financement', 1)","('sécurité', 1)","('sociale', 1)","('prévoit', 1)","('code', 1)","('santé', 1)","('publique', 1)","('indique', 1)","('dérogation', 1)","('premier', 1)","('peut', 1)","('délivrer', 1)"
