texteLegislatifUid,uid,dispositif,exposeSommaire
PRJLANR5L15B2296,AMANR5L15PO420120B2296P0D1N000002,"À la première phrase du premier alinéa de l’article L. 531-2 du code de la sécurité sociale, après le mot : « attribuée », sont insérés les mots : « et versée ».","L’article L 531‑2 du Code de la Sécurité Sociale dispose, dès son premier alinéa, qu’une prime de naissance est attribuée, sous condition de ressources pour tout enfant à naître ou pour chaque enfant adopté ou accueilli en vue d’adoption. La date de versement de cette prime doit, elle, être déterminée par décret.Or, le Gouvernement de Monsieur Manuel VALLS, a décidé par un décret n° 2014‑1714 du 30 décembre 2014 que la date de versement de la prime de naissance serait reportée au dernier jour du second mois civil suivant la naissance de l’enfant, alors qu’elle était jusqu’à cette date, versée deux mois avant la naissance de l’enfant. Ce choix de la Ministre des Affaires Sociales et de la Santé et de la majorité de 2014 est en parfaite contradiction avec le texte même de l’article L531‑2 du Code de la Sécurité sociale (alinéa 1).Les auditions menées dans le cadre de la Mission d’information sur la politique familiale décidée par la Commission des Affaires Sociales en novembre 2017 ont permis de mettre en lumière les difficultés que ce déplacement de la date de versement de la prime de naissance engendrait pour les familles les plus modestes. L’ensemble des associations familiales, quel que soit leur tendance, ont affirmé unanimement leur choix pour un retour de la prime de naissance avant la naissance de l’enfant.Cette position a été largement confirmée par les auditions menées préalablement à l’examen du PLFSS. C’est une mesure, par ailleurs de bon sens, qui fait consensus chez tous les interlocuteurs de la politique familiale.Les raisons sont simples : L’objectif visé par la création de la prime de naissance était de permettre aux familles dont les ressources n’excédaient pas un certain seuil, d’organiser l’arrivée de l’enfant dans un foyer. C’est avant la naissance de l’enfant que les besoins des parents sont le plus importants. Pour l’auteur de cette proposition, l’arrivée d’un enfant dans un foyer constitue une véritable richesse, un véritable bonheur et il est humain que, quelle que soit sa condition sociale, chaque parent veuille préparer au mieux, moralement et matériellement, la naissance de l’enfant.C’est l’essence même de notre politique familiale, une politique de redistribution horizontale dont l’objectif est de compenser, au moins en partie, la charge qui pèse sur un foyer avec enfant par rapport à un foyer sans enfant. C’est une politique qui, dans son contexte global, se distingue de notre politique sociale dans la mesure où elle s’adresse à toutes les familles, sans condition de revenu. Elle doit néanmoins avoir pour effet de protéger les familles les plus vulnérables afin que leur niveau de vie ne diminue pas davantage.Or, avec l’entrée en vigueur du décret du 30 décembre 2014, ce sont bien les familles les plus vulnérables qui sont les premières impactées. Elles se retrouvent bien souvent dans l’obligation de s’endetter pour pouvoir acheter le nécessaire à l’arrivée d’un enfant dans un foyer.Il importe à ce stade de préciser que le report de la date de versement de la prime de naissance après la naissance de l’enfant n’est pas le fruit d’un changement de vision au regard des objectifs poursuivis par l’attribution de cette prime, mais bien une décision prise pour des raisons de trésorerie. C’est d’autant plus vrai que le texte même de l’article L 531‑2 du Code de la sécurité sociale n’a pas été modifié en 2014 et continue d’affirmer dans son premier alinéa que la prime de naissance « est attribuée pour chaque enfant avant la naissance de l’enfant ».Aussi, le présent amendement vise à clarifier les dispositions de cet article et à imposer que le versement se fasse avant la naissance de l’enfant.  "
PRJLANR5L15B2296,AMANR5L15PO420120B2296P0D1N000010,Le premier alinéa de l’article L. 521‑1 du code de la sécurité sociale est complété par une phrase ainsi rédigée :« Elles sont universelles. »,"Pendant plus de cinquante ans, notre politique familiale a reposé sur le principe de l’universalité. Cela signifie qu’elle s’adressait à tous les Français, sans distinction sociale. Elle reposait sur l’idée que chaque enfant à naître est une chance et une richesse pour la France, pour son avenir, quel que soient les ressources dont disposent les parents.Pour mettre en place ce principe d’universalité, la politique familiale appelle des outils dits de redistribution horizontale, c’est-à-dire des mécanismes de solidarité des familles sans enfant envers les familles avec enfants, pour que, quel que soit les revenus des parents, la naissance d’un enfant n’ait pas pour effet de porter atteinte à leur niveau de vie.Or, ce principe d’universalité a été mis à mal sous le précédent quinquennat, notamment à travers la modulation des allocations familiales et les baisses successives du quotient familial, faisant ainsi de la politique familiale une politique sociale comme les autres.La loi de financement de la sécurité sociale pour 2018 a choisi de ne pas revenir sur cette modulation des allocations familiales qui a pour conséquence principale la baisse de la natalité dans notre pays.Aussi, le présent amendement vise à réintroduire ce principe d’universalité, base même de la politique familiale française, enviée par tant de nos voisins."
PRJLANR5L15B2296,AMANR5L15PO420120B2296P0D1N000011,"Dans les douze mois à compter de la promulgation de la présente loi, le Gouvernement remet au Parlement un rapport évaluant les conséquence de l’intégration des allocations familiales dans le revenu fiscal sous condition d’un retour à l’universalité totale avec suppression de la mesure de modulation prévue par la loi n° 2014‑1554 du 22 décembre 2014 de financement de la sécurité sociale pour 2015.","Alors que depuis cinquante ans le principe même de la politique familiale reposait sur son universalité, à savoir que chaque famille, quelles que soient ses conditions de ressources, bénéficiaient des mêmes prestations pour leurs enfants à charges, la loi de financement de la sécurité sociale pour 2015 a mis en place un système de modulation des allocations familiales.Cette modulation a pour effet d’échelonner le montant des allocations familiales en fonction des revenus fiscaux du foyer et donc de transformer notre politique familiale, basée sur une redistribution horizontale (le partage se fait des familles sans enfants vers les familles avec enfants), en une politique sociale, avec un système de redistribution verticale (où le partage se fait des foyers aux revenus les plus élevés vers ceux aux revenus les plus faibles).Afin de pouvoir se prononcer en toute connaissance de cause, les parlementaires du groupe « Les Républicains » sollicitent un rapport du Gouvernement sur une intégration des allocations familiales dans le revenu fiscal sous condition d’un retour à l’universalité total avec suppression de la mesure de modulation prévue par la loi de financement de la sécurité sociale pour 2015.Cette option, qui génèrerait un surplus d’impôt sur le revenu de 640 millions d’euros par an selon la Cour des comptes, serait très peu coûteuse pour les finances publiques, puisque la suppression de la modulation coûterait 750 millions d’euros par an. Elle aurait comme conséquence de faire entrer de nouveaux contribuables dans l’impôt, comme on l’a vu supra.Elle permettrait en effet de rétablir une véritable universalité des allocations familiales ; et l’option de fiscalisation limiterait la reconstitution de la courbe en U, puisqu’une partie du montant des Allocations familiales redonné aux plus hauts déciles de revenus serait en quelque sorte « rattrapée » par l’impôt, et d’autant plus que le niveau de revenu est élevé, compte tenu de la progressivité de l’Impôt sur le Revenu.Nous précisons que ce rapport demandé au Gouvernement n’a pas d’autre objectif que de permettre aux Parlementaires de se prononcer en toute connaissance de cause. En aucun cas, il n’aurait valeur de décision."
PRJLANR5L15B2296,AMANR5L15PO420120B2296P0D1N000012,"Dans les six mois suivant la promulgation de la loi, le Gouvernement remet un rapport au Parlement qui évalue les conséquences des mesures adoptées entre 2012 et 2018 sur la politique familiale.Ce rapport porte notamment sur le quotient familial, les allocations familiales, le congé parental, la prime de naissance, l’allocation de base de la prestation d’accueil du jeune enfant et les modes de garde.","Depuis 2012, un grand nombre de mesures ont été adoptées au détriment des familles :- Baisse répétée du quotient familial- Modulation des allocations familiales- Congé parental partagé limitant la durée maximale pour 1 parent à 2 ans au lieu de 3-Prime de naissance versée après la naissance et non avant-Promesses non tenues en termes de modes de garde- Conditions plus drastiques et baisse des montants pour l’allocation de base de la PAJE ainsi que pour le complément modes de garde. Or force est de constater que le nombre de naissances en France métropolitaine a baissé depuis 6 ans. Ainsi, selon les statistiques de l’Insee Première parues en août 2018 185.000 enfants de moins sont nés au cours de ces 6 dernières années (2012‑2018). Aussi, toutes les dispositions adoptées doivent être évaluées afin d’en mesurer la portée sur la politique familiale. Tel est l’objet de cet amendement."
PRJLANR5L15B2296,AMANR5L15PO420120B2296P0D1N000015,"Dans les six mois suivant la promulgation de la loi, le Gouvernement remet un rapport au Parlement qui évalue les conséquences des mesures adoptées entre 2012 et 2018 sur la politique familiale.Ce rapport porte notamment sur le quotient familial, les allocations familiales, le congé parental, la prime de naissance, l’allocation de base de la prestation d’accueil du jeune enfant et les modes de garde.","Depuis 2012, un grand nombre de mesures ont été adoptées au détriment des familles :- Baisse répétée du quotient familial- Modulation des allocations familiales- Congé parental partagé limitant la durée maximale pour 1 parent à 2 ans au lieu de 3-Prime de naissance versée après la naissance et non avant-Promesses non tenues en termes de modes de garde- Conditions plus drastiques et baisse des montants pour l’allocation de base de la PAJE ainsi que pour le complément modes de garde. Or force est de constater que le nombre de naissances en France métropolitaine a baissé depuis 6 ans. Ainsi, selon les statistiques de l’Insee Première parues en août 2018 185.000 enfants de moins sont nés au cours de ces 6 dernières années (2012‑2018). Aussi, toutes les dispositions adoptées doivent être évaluées afin d’en mesurer la portée sur la politique familiale. Tel est l’objet de cet amendement."
PRJLANR5L15B2296,AMANR5L15PO420120B2296P0D1N000018,"Afin d’améliorer la prise en charge du pied diabétique, pour des patients atteints de diabète, la prise en charge par l’assurance maladie obligatoire des prestations mentionnées aux articles L. 162‑1‑7, L. 162‑5, L. 162‑9, L. 162‑12‑2, L. 162‑12‑9, L. 162‑14, L. 162‑14‑1, L. 162‑16‑1, L. 162‑22‑1, L. 162‑22‑6, L. 162‑26 et L. 162‑26‑1 donne lieu, par dérogation aux mêmes articles, à une rémunération forfaitaire.Un cahier des charges, indiquant les conditions d’éligibilité des établissements ou équipes est déterminé par un arrêté.","Pour le seul régime général, près de 9000 personnes atteintes de diabète subissent chaque année une amputation d’un membre inférieur à savoir d’orteil, de pied, de jambe ou de cuisse. 20 000 personnes sont hospitalisées pour une plaie du pied. La qualité de vie du patient diabétique est alors largement détériorée : la pratique d’une activité physique - qui fait partie intégrante du traitement du diabète au même titre que l’alimentation et les traitements médicamenteux – devient alors plus difficile. Le cercle vicieux est là. Sans cette pratique régulière, le diabète est moins stable, d’autres complications se développent détériorant un peu plus une qualité de vie déjà dégradée, et des coûts supplémentaires évitables viennent alourdir les dépenses de l’Assurance maladie. Ces complications représentent un véritable coût également pour l’Assurance maladie : quand les dépenses moyennes d’un patient diabétique s’élèvent à 6 730 euros, celles d’un patient pris en charge pour une amputation s’élèvent 63 830 euros. 1% des patients diabétiques représentent dès lors 8 % des dépenses totales. Trouver une prise en charge adaptée est donc une nécessité pour le patient et sa qualité de vie mais aussi pour l’efficience de notre système de soins.  Le pied diabétique – amputation ou l’hospitalisation pour plaie du pied- est estimé à 660 millions d’euros : 350 millions sont attribuables aux patients amputés et 310 liés aux patients hospitalisés pour soins aigus pour plaie du pied. Certains établissements sont déjà spécialisés dans la prise en charge du pied diabétique. Il n’existe néanmoins aujourd’hui pas de cahier des charges qui permette de labéliser ou certifier les établissements ou équipes spécialisées.Cet amendement vise donc à créer un mode de financement dédié (forfait) à la prise en charge de telles complications. Les équipes éligibles seraient déterminées par un cahier des charges."
PRJLANR5L15B2296,AMANR5L15PO420120B2296P0D1N000032,"Le titre VI du livre I du code de la sécurité sociale est ainsi modifié :1° Le deuxième alinéa de l’article L. 162‑17‑3 est complété parune phrase ainsi rédigée : « Le comité propose également toute action de maîtrise médicalisée qui lui permet d’assurer le respect de cet objectif. » ; 2° À la première phrase de l’article L. 165‑4, après le mot : « maladie », sont insérés les mots : « les actions de maîtrise médicalisée ».","Le comité économique des produits de santé (CEPS) est le pilier de la régulation des produits de santé. Il est le seul à disposer de l’entièreté des éléments qui permettent le pilotage de ces dépenses. Son travail permet de couvrir l’intégralité de la liste des produits et prescriptions (LPP), incluant les produits de la liste en sus. Ses travaux s’inscrivent dans une approche conventionnelle de négociation avec les parties prenantes, contrairement au mécanisme de clause de sauvegarde proposée à l’article 15 du présent projet de loi. La rénovation prochaine de l’accord-cadre des dispositifs médicaux, caduc depuis 4 ans, va permettre de structurer la vie conventionnelle de ce secteur en donnant davantage de transparence au fonctionnement du système et en permettant l’introduction de nouveaux mécanismes complémentaires de régulation, structurels et innovants, basés sur une approche de maîtrise médicalisée et de pertinence des soins. Les objectifs à atteindre pour ce nouvel accord-cadre doivent ainsi s’inscrire clairement dans l’alignement des orientations fortes portées par le président de la République dans le cadre de la réforme « Ma Santé 2022 ».Toutefois ces objectifs ne pourront être remplis sans donner explicitement au CEPS dans la loi la mission de générer des économies structurelles reposant sur une maitrise médicalisée des dépenses à travers les négociations avec les fabricants et/ou les prestataires de services à domicile et ce également, en lien étroit avec la CNAM.Ainsi cet amendement a-t-il pour objet de doter formellement le CEPS de cette compétence."
PRJLANR5L15B2296,AMANR5L15PO420120B2296P0D1N000037,I. – L’article L. 646-3 du code de sécurité sociale est abrogé.II. – La perte des recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration des droits mentionnés aux articles 575 et 575A du code général des impôts,"La loi de financement de la sécurité sociale pour 2016 a harmonisé le taux des cotisations maladie, maternité et décès des professionnels indépendants, ramenant le taux de cotisations des professionnels de santé libéraux affiliés au régime des praticiens et auxiliaires médicaux conventionnés (PAMC), alors de 9,81 %, à hauteur du taux appliqué au RSI, soit 6,5 %.Cette LFFS 2016 a également introduit une taxe additionnelle de 3,25 % applicable aux revenus tirés d’une activité non conventionnée ou des dépassements d’honoraires pour les seuls professionnels de santé affiliés au régime Praticiens et Auxiliaires Médicaux Conventionnés.Cette taxe additionnelle constitue une véritable iniquité entre les professionnels de santé libéraux affiliés au régime PAMC et les autres professionnels de santé libéraux affiliés qui en sont exonérés. Cette taxe, qui devait sanctionner les dépassements d’honoraires abusifs, s’applique en réalité sur les revenus tirés d’activités liées aux soins, comme les prothèses dentaires, les indemnités de maître de stage, de formation continue obligatoire etc.La suppression de cette taxe additionnelle viserait donc à mettre un terme à cette discrimination entre professionnels de santé libéraux selon leur régime d’affiliation et répondrait à la politique gouvernementale d’harmonisation des cotisations sur les revenus d’activité."
PRJLANR5L15B2296,AMANR5L15PO420120B2296P0D1N000048,"La section 3 du chapitre III du titre Ier du livre II du code de l’action sociale et des famille est ainsi modifiée :1° Après le deuxième alinéa du B de l’article L. 313‑12, il est inséré un alinéa ainsi rédigé :« L’activité de l’établissement ne peut en aucun cas être appréciée exclusivement au regard du taux d’occupation lorsque la structure fonctionne en accueil temporaire. » ;2° Le premier alinéa de l’article L. 313‑12‑2 est complété par les mots : « « , l’activité de l’établissement ou du service ne pouvant en aucun cas être appréciée exclusivement au regard du taux d’occupation ».","L’objectif annoncé ici était d’encadrer le financement de l’offre belge, tout en renforçant les efforts pour trouver des solutions aux familles sur le territoire national. Finalement, elle n’organise que le transfert du financement par la CNSA des établissements à l’étranger accueillant des adultes handicapés français.La réglementation en vigueur offre la possibilité aux financeurs d’apprécier cette activité aux moyens de plusieurs indicateurs, sur le terrain l’indicateur préférentiel utilisé reste le taux d’occupation sans considération des spécificités des structures.L’objectif du présent amendement est de permettre une évaluation de l’activité d’un établissement ou d’un service, sans prendre en compte uniquement le critère du taux d’occupation. En effet, l’organisation de l’offre médico-sociale ne peut plus être jugée efficacement sans contrôle de d’autres critères, comme la qualité et l’efficience du soin."
PRJLANR5L15B2296,AMANR5L15PO420120B2296P0D1N000057,"Le Gouvernement présente au Parlement, au plus tard le 31 décembre 2021, un rapport faisant état de l’efficacité du mode de financement par la tarification à l’activité au sein des établissements hospitaliers, publics et privés. Ce rapport fait état de la situation financière de ces établissements, ainsi que des avantages et inconvénients des différents systèmes envisagés.","La crise des urgences a permis de mettre en lumière la situation critique de notre système de santé, réelle depuis maintenant bien trop d’années. Le personnel hospitalier attend des mesures fortes, dont un travail de fond sur le financement et le mode de gestion de leurs établissements. La tarification à l’activité, qui a montré des effets bénéfiques un temps, doit aujourd’hui être abandonnée. Pour cela, il nous faut envisager un nouveau mode de financement, qu’il soit de revenir à une dotation globale ou autre. Afin de ne pas créer un système qui s’avèrerait plus néfaste que l’actuel, le Gouvernement avant toute prise de décision à ce sujet, remettra au Parlement un rapport établissant les avantages et inconvénients des systèmes et les pistes envisagées."
